id,title,description,type,style,location,bedrooms,bathrooms,price,view,furnishing
1,Modern 4-bedroom Studio in Chelsea,"A modern studio located in Chelsea, featuring 4 bedrooms, 3 bathrooms, park view, and is unfurnished.",Studio,Modern,Chelsea,4,3,360941,Park View,Unfurnished
2,Victorian 4-bedroom Flat in Wimbledon,"A victorian flat located in Wimbledon, featuring 4 bedrooms, 2 bathrooms, no view, and is part-furnished.",Flat,Victorian,Wimbledon,4,2,1657950,No View,Part-Furnished
3,Luxury 3-bedroom Bungalow in Greenwich,"A luxury bungalow located in Greenwich, featuring 3 bedrooms, 1 bathrooms, park view, and is unfurnished.",Bungalow,Luxury,Greenwich,3,1,747656,Park View,Unfurnished
4,Modern 5-bedroom Penthouse in Canary Wharf,"A modern penthouse located in Canary Wharf, featuring 5 bedrooms, 1 bathrooms, river view, and is part-furnished.",Penthouse,Modern,Canary Wharf,5,1,1760181,River View,Part-Furnished
5,Victorian 1-bedroom Bungalow in Richmond,"A victorian bungalow located in Richmond, featuring 1 bedrooms, 1 bathrooms, garden view, and is unfurnished.",Bungalow,Victorian,Richmond,1,1,857433,Garden View,Unfurnished
6,Contemporary 4-bedroom Terraced House in Greenwich,"A contemporary terraced house located in Greenwich, featuring 4 bedrooms, 2 bathrooms, city view, and is furnished.",Terraced House,Contemporary,Greenwich,4,2,1548607,City View,Furnished
7,Modern 5-bedroom Studio in Shoreditch,"A modern studio located in Shoreditch, featuring 5 bedrooms, 3 bathrooms, river view, and is unfurnished.",Studio,Modern,Shoreditch,5,3,703412,River View,Unfurnished
8,Modern 2-bedroom Semi-detached House in Richmond,"A modern semi-detached house located in Richmond, featuring 2 bedrooms, 2 bathrooms, no view, and is unfurnished.",Semi-detached House,Modern,Richmond,2,2,453663,No View,Unfurnished
9,Modern 4-bedroom Terraced House in Canary Wharf,"A modern terraced house located in Canary Wharf, featuring 4 bedrooms, 2 bathrooms, city view, and is unfurnished.",Terraced House,Modern,Canary Wharf,4,2,863262,City View,Unfurnished
10,Contemporary 5-bedroom Townhouse in Canary Wharf,"A contemporary townhouse located in Canary Wharf, featuring 5 bedrooms, 2 bathrooms, river view, and is part-furnished.",Townhouse,Contemporary,Canary Wharf,5,2,1106023,River View,Part-Furnished
11,Rustic 3-bedroom Townhouse in Camden,"A rustic townhouse located in Camden, featuring 3 bedrooms, 1 bathrooms, river view, and is unfurnished.",Townhouse,Rustic,Camden,3,1,954638,River View,Unfurnished
12,Contemporary 1-bedroom Bungalow in Camden,"A contemporary bungalow located in Camden, featuring 1 bedrooms, 1 bathrooms, city view, and is part-furnished.",Bungalow,Contemporary,Camden,1,1,487375,City View,Part-Furnished
13,Minimalist 4-bedroom Townhouse in Richmond,"A minimalist townhouse located in Richmond, featuring 4 bedrooms, 2 bathrooms, no view, and is unfurnished.",Townhouse,Minimalist,Richmond,4,2,1645230,No View,Unfurnished
14,Rustic 5-bedroom Flat in Shoreditch,"A rustic flat located in Shoreditch, featuring 5 bedrooms, 1 bathrooms, garden view, and is furnished.",Flat,Rustic,Shoreditch,5,1,618557,Garden View,Furnished
15,Rustic 5-bedroom Bungalow in Shoreditch,"A rustic bungalow located in Shoreditch, featuring 5 bedrooms, 3 bathrooms, river view, and is part-furnished.",Bungalow,Rustic,Shoreditch,5,3,1952630,River View,Part-Furnished
16,Rustic 4-bedroom Detached House in Canary Wharf,"A rustic detached house located in Canary Wharf, featuring 4 bedrooms, 1 bathrooms, garden view, and is furnished.",Detached House,Rustic,Canary Wharf,4,1,558323,Garden View,Furnished
17,Modern 3-bedroom Studio in Richmond,"A modern studio located in Richmond, featuring 3 bedrooms, 2 bathrooms, garden view, and is part-furnished.",Studio,Modern,Richmond,3,2,485456,Garden View,Part-Furnished
18,Minimalist 1-bedroom Detached House in Camden,"A minimalist detached house located in Camden, featuring 1 bedrooms, 1 bathrooms, no view, and is furnished.",Detached House,Minimalist,Camden,1,1,716474,No View,Furnished
19,Industrial 5-bedroom Terraced House in Canary Wharf,"A industrial terraced house located in Canary Wharf, featuring 5 bedrooms, 3 bathrooms, park view, and is part-furnished.",Terraced House,Industrial,Canary Wharf,5,3,1983633,Park View,Part-Furnished
20,Contemporary 5-bedroom Bungalow in Greenwich,"A contemporary bungalow located in Greenwich, featuring 5 bedrooms, 1 bathrooms, river view, and is unfurnished.",Bungalow,Contemporary,Greenwich,5,1,355378,River View,Unfurnished
21,Contemporary 5-bedroom Semi-detached House in Canary Wharf,"A contemporary semi-detached house located in Canary Wharf, featuring 5 bedrooms, 3 bathrooms, river view, and is furnished.",Semi-detached House,Contemporary,Canary Wharf,5,3,1606813,River View,Furnished
22,Rustic 1-bedroom Detached House in Camden,"A rustic detached house located in Camden, featuring 1 bedrooms, 2 bathrooms, no view, and is part-furnished.",Detached House,Rustic,Camden,1,2,1075277,No View,Part-Furnished
23,Rustic 2-bedroom Semi-detached House in Greenwich,"A rustic semi-detached house located in Greenwich, featuring 2 bedrooms, 3 bathrooms, park view, and is furnished.",Semi-detached House,Rustic,Greenwich,2,3,1611797,Park View,Furnished
24,Rustic 3-bedroom Studio in Wimbledon,"A rustic studio located in Wimbledon, featuring 3 bedrooms, 3 bathrooms, river view, and is unfurnished.",Studio,Rustic,Wimbledon,3,3,533428,River View,Unfurnished
25,Contemporary 2-bedroom Flat in Wimbledon,"A contemporary flat located in Wimbledon, featuring 2 bedrooms, 3 bathrooms, garden view, and is unfurnished.",Flat,Contemporary,Wimbledon,2,3,858662,Garden View,Unfurnished
